0,NumPixels,Volume,DeltaX,DeltaY,CentroidX,CentroidY,MaxIntensity,MedianIntensity,Shape,Cluster
ART_00166-0,1186,172815,36,98,561.2462057335582,281.74367622259695,209,161.0,3,3
ART_00166-1,6669,603635,82,667,563.6483730694257,104.24523916629177,218,71.0,2,1
ART_00166-2,2390,221654,16,245,570.9732217573222,95.89288702928872,215,78.0,3,1
ART_00166-3,36,6357,6,7,572.8055555555558,41.38888888888891,197,178.5,1,0
ART_00166-4,43,8056,7,8,566.8139534883721,281.29069767441865,207,189.0,3,3
ART_00166-5,382,48636,42,45,523.6151832460733,360.5732984293194,195,139.0,1,3
ART_00166-6,1383,186003,88,89,70.43962400578455,411.39443239334776,209,149.0,1,3
ART_00167-0,17299,1290381,60,700,560.9633504826868,22.372998439216133,148,74.0,3,1
ART_00167-1,48,3483,6,8,271.1875,267.47916666666663,83,72.0,3,4
ART_00167-2,20,1399,4,4,198.1,261.95,77,69.0,3,4
ART_00167-3,4906,410894,24,272,565.3793314309011,90.2543823889115,209,78.0,0,2
ART_00168-0,23,1514,38,0,295.0869565217391,434.5,71,65.0,0,4
ART_00168-1,22,1460,36,0,243.72727272727275,434.5,71,66.0,0,4
ART_00168-2,243,16380,287,8,73.74897119341563,433.9609053497943,85,66.0,3,4
ART_00168-3,851,59509,330,11,181.02585193889544,431.8736780258519,87,69.0,3,4
ART_00168-4,18519,1435266,87,763,557.9175981424482,21.220503266915046,234,75.0,0,1
ART_00168-5,6032,491392,23,602,565.888096816976,54.237068965517274,174,77.0,3,1
ART_00168-6,46,3037,33,2,171.82608695652175,253.2826086956522,68,66.0,0,4
ART_00168-7,45,8523,0,44,575.0,0.5,214,192.0,0,0
ART_00168-8,179,39395,1,179,574.9832402234638,112.51675977653632,245,222.0,0,0
ART_00168-9,92,6133,25,59,472.7934782608696,234.46739130434787,73,66.0,3,4
ART_00168-10,1342,92478,448,135,400.0134128166914,395.5260804769001,86,67.0,0,4
ART_00168-11,964,66576,394,19,263.88900414937757,431.19294605809125,96,67.0,0,4
ART_00168-12,107,7209,92,15,19.280373831775705,428.98598130841117,74,66.0,0,4
ART_00169-0,2837,219016,802,12,56.079661614381386,432.3449065914698,181,73.0,3,4
ART_00169-1,25,6055,20,1,154.79999999999995,434.3,255,240.0,1,3
ART_00169-2,24,3624,29,2,158.54166666666663,433.41666666666674,172,149.0,3,4
ART_00169-3,67924,5128537,1151,803,241.82851422177725,190.80445792356159,201,71.0,3,1
ART_00169-4,124,8960,9,21,170.7983870967742,354.5645161290323,87,71.5,2,4
ART_00169-5,70,5239,6,16,498.22857142857146,352.91428571428565,84,75.0,1,4
ART_00169-6,23,1565,9,3,334.304347826087,143.9782608695652,74,67.0,3,4
ART_00169-7,130,9673,13,13,411.7153846153846,109.16923076923077,87,73.0,3,2
ART_00169-8,111,8257,11,12,386.64864864864876,109.59909909909908,93,73.0,3,2
ART_00169-9,26,1801,5,5,196.5769230769231,105.46153846153842,75,69.0,3,4
ART_00169-10,365,28870,39,21,412.52602739726024,50.12465753424658,106,77.0,2,2
ART_00169-11,254,22569,24,14,226.63779527559046,30.55511811023621,131,86.0,3,2
ART_00169-12,214,18594,16,19,474.74766355140173,24.359813084112147,133,83.0,3,2
ART_00169-13,63,4682,9,7,452.46031746031736,23.912698412698436,84,74.0,3,2
ART_00169-14,60,4326,9,28,397.51666666666665,14.166666666666687,91,69.0,1,2
ART_00169-15,299,21736,28,16,443.33444816053515,38.844481605351184,84,72.0,3,2
ART_00169-16,26,1724,7,8,457.5384615384616,62.769230769230774,69,66.0,3,2
ART_00169-17,278,23331,16,29,447.0,111.60071942446041,116,82.0,0,2
ART_00169-18,24,1818,12,16,296.2083333333333,156.83333333333337,90,73.5,3,4
ART_00169-19,24,1649,7,6,238.875,187.45833333333337,76,68.0,3,4
ART_00169-20,154,11317,15,16,21.18181818181813,303.81168831168833,89,73.0,2,4
ART_00169-21,43,3060,6,8,91.81395348837214,346.1744186046511,77,71.0,3,4
ART_00169-22,47,3536,9,6,89.63829787234043,356.45744680851067,90,75.0,3,4
ART_00170-0,6590,521987,872,19,17.095751138087962,430.1048558421852,128,77.0,0,4
ART_00170-1,18740,1642457,925,749,300.48180362860194,244.15928495197446,254,79.0,0,1
ART_00170-2,16629,1377663,85,655,553.1511816705754,69.5336761080041,241,78.0,2,1
ART_00170-3,62,4178,21,15,493.5645161290322,391.5645161290323,71,67.0,3,4
ART_00171-0,4717,327389,900,88,7.1210515157939644,425.3064447742209,94,68.0,2,4
ART_00171-1,27,1778,11,7,494.5925925925926,393.9444444444445,69,66.0,3,4
ART_00171-2,33530,2488824,559,810,509.056486728303,87.71476289889654,134,73.0,0,1
ART_00171-3,22629,1627543,437,799,538.3879977020638,15.336492995713456,161,68.0,0,1
ART_00171-4,24,1761,20,3,429.08333333333337,354.5,92,70.5,3,4
