,NumPixels,Volume,DeltaX,DeltaY,CentroidX,CentroidY,MaxIntensity,MedianIntensity,Shape
ART_00272-5,0.0013970631948160039,0.001353226336119317,0.0156385751520417,0.012672811059907835,0.9153924069831056,0.1285842647035642,0.09523809523809523,0.0421052631578947,3
ART_00272-6,0.0004755959812139587,0.000400510785953027,0.0052128583840139004,0.012672811059907835,0.8501786820057149,0.2257854397811407,0.07407407407407407,0.03157894736842104,3
ART_00272-7,0.0007133939718209381,0.0009118217272473194,0.008688097306689834,0.010368663594470046,0.3214709371293001,0.27209959200753225,0.2857142857142857,0.2,3
ART_00272-8,0.00015853199373798622,7.239311895115079e-05,0.004344048653344917,0.003456221198156682,0.44044135645559135,0.35196449120499756,0.031746031746031744,0.01578947368421052,3
ART_00272-9,0.0007034857222123139,0.0005868816208100928,0.006081668114682884,0.021889400921658985,0.9740858670995399,0.41784265035430934,0.042328042328042326,0.010526315789473661,2
ART_00272-10,0.0005350454788657035,0.00047221313086838446,0.016507384882710686,0.00576036866359447,0.9611342327308309,0.5278032415985645,0.10582010582010581,0.0421052631578947,3
ART_00272-11,0.009511919624279174,0.02159843177715298,0.03822762814943527,0.097926267281106,0.9549486270147122,0.7270974319836391,0.9894179894179894,0.6263157894736842,2
ART_00272-12,0.0021599984146800626,0.004151551955118476,0.016507384882710686,0.01728110599078341,0.5468202926766993,0.9837450396569429,0.888888888888889,0.37894736842105264,2
ART_00273-0,0.0007926599686899312,0.001833176136188588,0.008688097306689834,0.014976958525345621,0.9441416044472355,0.7759425979828063,0.7248677248677248,0.5578947368421052,2
ART_00273-1,0.0002477062402156035,0.00023306715967670114,0.010425716768027801,0.016129032258064516,0.9418900751285093,0.7746068277713847,0.23809523809523803,0.1157894736842105,3
ART_00273-2,0.01002714860392763,0.00978136034683488,0.0052128583840139004,0.2569124423963134,0.9966657763065451,0.202435467026035,0.14814814814814814,0.02631578947368418,2
ART_00273-3,0.0007629352198640588,0.0006741954589343815,0.011294526498696784,0.04723502304147465,0.9910038673340469,0.14446097280305367,0.10052910052910052,0.01842105263157895,2
ART_00273-4,0.00026752273943285177,0.00020502173382348817,0.0052128583840139004,0.00576036866359447,0.5352510873863187,0.4308112773302647,0.09523809523809523,0.05263157894736842,3
ART_00273-5,0.0005053207300398312,0.00043905597715030006,0.006081668114682884,0.016129032258064516,0.9922329548664067,0.5947723162913037,0.08994708994708994,0.03947368421052627,3
ART_00274-0,0.004557794819967104,0.008601932758121187,0.0156385751520417,0.03341013824884793,0.32175529449780393,0.9684026875533611,0.582010582010582,0.4578947368421052,2
ART_00274-1,0.0009016507143847967,0.0009802083567908683,0.00781928757602085,0.014976958525345621,0.5266063661526295,0.9347669735327964,0.21693121693121686,0.08947368421052632,2
ART_00274-2,0.015952281869884864,0.018786290677437954,0.016507384882710686,0.31336405529953915,0.9947148311781479,0.19169608852565312,0.6402116402116401,0.06315789473684208,0
ART_00274-3,0.008848066900501357,0.01758807403495068,0.017376194613379668,0.10483870967741936,0.9846496894377117,0.03890758391618245,0.761904761904762,0.5105263157894737,3
ART_00274-4,0.00028733923865010007,0.0007349835740842028,0.0026064291920069502,0.010368663594470046,0.9977996418021539,0.050768293508427535,0.708994708994709,0.6342105263157893,2
ART_00274-5,0.003735410102451301,0.0041371838551739724,0.00781928757602085,0.2488479262672811,0.9959009520970359,0.4540755155772719,0.35978835978835977,0.05263157894736842,3
